Average Lost Customer Hours per period - all causes and all attribution parties [Network by Line],,,,,,,,,,,,,
Lost Customer Hours,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17
Bakerloo,"109,747","124,404","124,921","112,314","61,031","167,504","167,725","122,095","203,161","207,642","104,890","104,860","114,702"
Central,"284,418","349,443","335,417","337,292","200,802","748,945","766,923","606,222","829,478","385,343","327,767","339,545","185,886"
Waterloo & City,"13,191","28,984","28,335","16,379","3,507","23,814","5,118","40,485","36,830","5,396","3,745","17,031","6,268"
Circle + H&C,"527,752","201,899","287,823","174,924","126,339","353,546","331,205","385,353","340,640","239,556","180,984","173,105","152,138"
District,"198,747","200,360","248,812","551,551","177,782","445,809","711,007","530,655","484,815","411,910","304,270","253,193","192,439"
Jubilee,"427,036","294,613","444,528","632,908","265,537","510,037","763,784","977,781","667,651","1,088,149","1,073,696","585,088","601,373"
Metropolitan,"112,049","99,746","133,848","208,456","187,506","205,701","316,707","304,263","259,521","258,960","202,486","128,809","82,161"
Northern,"184,296","155,025","155,827","223,703","298,964","422,377","587,867","435,076","495,301","307,309","186,974","259,341","153,115"
Piccadilly,"179,479","320,670","234,075","204,311","225,901","402,004","461,975","682,524","473,200","425,799","181,295","176,693","240,047"
Victoria,"249,793","202,052","237,261","425,185","331,218","450,069","507,825","482,443","547,678","466,322","308,385","318,093","276,331"
NETWORK,"2,286,508","1,977,196","2,230,848","2,887,023","1,878,587","3,729,807","4,620,135","4,566,897","4,338,274","3,796,385","2,874,491","2,355,758","2,004,459"
Lost Customer Hours,2011/12,,,,,,,,,,,,
Bakerloo,"106,757","89,475","96,533","84,127","66,280","101,217","101,979","134,374","61,479","59,817","58,340","76,473","59,406"
Central,"289,256","263,157","290,266","329,626","285,983","295,109","448,790","311,295","404,211","290,382","272,904","393,078","302,305"
Waterloo & City,"1,866","4,311","29,198","15,177","5,385","4,490","5,316","3,717","2,304","7,836","16,785","5,282","13,201"
Circle + H&C,"136,204","175,316","155,836","203,744","137,562","177,845","158,767","99,383","103,752","139,893","147,720","168,902","141,988"
District,"318,377","142,115","191,677","183,198","239,202","227,572","317,371","225,075","201,200","216,067","196,937","262,056","296,336"
Jubilee,"714,720","674,108","348,660","618,989","512,518","609,771","290,240","375,509","441,414","476,873","534,589","939,669","458,340"
Metropolitan,"75,532","101,199","126,662","181,393","145,298","143,602","117,893","130,160","146,928","126,039","174,142","218,363","127,110"
Northern,"259,924","257,357","237,181","155,020","209,608","228,914","162,107","180,572","128,046","268,932","216,680","173,063","223,467"
Piccadilly,"297,173","314,182","174,153","288,053","207,127","312,600","273,582","210,090","199,346","228,021","226,026","226,911","203,971"
Victoria,"309,546","300,869","279,279","241,443","250,235","360,965","279,056","384,324","300,386","230,042","229,760","140,544","171,309"
NETWORK,"2,509,354","2,322,089","1,929,445","2,300,769","2,059,198","2,462,085","2,155,102","2,054,499","1,989,066","2,043,901","2,073,884","2,604,341","1,997,431"
Lost Customer Hours,2012/13,,,,,,,,,,,,
Bakerloo,"110,347","67,225","79,569","77,436","72,311","42,413","55,838","54,026","53,581","62,174","302,506","431,135","260,886"
Central,"270,362","231,611","708,017","222,580","558,111","109,253","169,305","482,741","231,333","227,097","225,713","208,533","303,690"
Waterloo & City,"6,253","5,120",884,"15,339","1,628","4,790","8,808","5,072","11,871",124,"20,579","8,393","5,107"
Circle + H&C,"107,994","119,727","157,908","174,969","118,314","127,336","132,549","134,663","160,718","146,285","191,464","120,819","208,955"
District,"219,494","404,251","382,102","256,349","198,833","248,163","147,737","151,936","274,103","163,240","197,668","146,646","196,717"
Jubilee,"542,582","707,345","440,663","406,801","324,667","159,946","241,717","300,776","375,329","262,839","256,512","263,644","236,125"
Metropolitan,"162,429","247,186","172,633","100,322","117,877","94,471","64,915","108,012","140,210","132,708","106,095","73,453","97,363"
Northern,"215,183","210,014","200,002","173,312","112,175","109,462","109,880","157,359","131,627","133,159","204,193","125,050","167,139"
Piccadilly,"162,822","154,116","191,248","160,430","132,677","108,237","183,106","88,490","203,544","208,016","102,243","193,801","148,950"
Victoria,"179,429","251,807","120,400","158,179","92,131","96,146","139,528","173,823","143,976","125,442","224,229","137,998","190,821"
NETWORK,"1,976,896","2,398,403","2,453,427","1,745,717","1,728,724","1,100,217","1,253,385","1,656,899","1,726,294","1,461,084","1,831,202","1,709,469","1,815,754"
Lost Customer Hours,2013/14,,,,,,,,,,,,
Bakerloo,"119,799","75,108","57,990","74,768","67,203","67,388","63,958","77,134","45,080","37,491","68,488","218,048","64,765"
Central,"369,420","303,098","228,709","322,295","252,044","197,150","336,066","317,390","245,461","232,253","369,852","967,026","269,166"
Waterloo & City,"3,982","14,278","15,139","3,094",448,"11,877","5,483","3,855","10,102","5,040","3,377","78,783","11,349"
Circle + H&C,"175,713","130,978","151,948","155,342","172,878","151,388","204,897","243,809","243,096","208,962","141,849","348,980","204,169"
District,"158,581","212,346","135,384","229,928","219,924","136,352","156,883","204,161","126,807","176,233","153,751","464,995","192,887"
Jubilee,"194,380","161,591","375,093","254,926","292,042","284,199","275,413","431,640","318,348","240,577","189,176","1,222,807","163,551"
Metropolitan,"52,797","62,513","97,994","143,903","115,211","75,599","80,568","99,060","153,474","88,157","69,970","400,085","69,238"
Northern,"177,473","157,020","191,219","239,599","220,978","191,528","225,181","204,044","186,624","108,863","144,654","263,461","172,735"
Piccadilly,"252,318","85,024","121,491","132,715","114,942","90,409","126,053","208,082","210,294","237,383","114,808","656,251","114,709"
Victoria,"169,996","130,548","159,206","281,590","293,396","195,747","209,577","143,742","192,461","86,004","266,385","311,617","204,667"
NETWORK,"1,674,459","1,332,503","1,534,174","1,838,159","1,749,066","1,401,638","1,684,080","1,932,919","1,731,747","1,420,964","1,522,310","4,932,056","1,467,235"
Lost Customer Hours,2014/15,,,,,,,,,,,,
Bakerloo,"45,327","208,136","63,925","51,331","72,889","58,094","58,567","67,314","84,783","68,023","57,659","45,994","62,187"
Central,"282,916","1,049,181","320,977","356,161","341,472","858,232","617,806","335,431","224,010","189,798","237,794","330,923","187,860"
Waterloo & City,"6,832","56,155","7,623","10,853","10,185","35,688","4,040","1,210","1,551","2,441","9,724","11,131","2,336"
Circle + H&C,"94,271","272,314","154,216","130,059","184,654","169,363","203,661","125,318","158,377","113,792","231,192","167,456","152,268"
District,"141,208","465,129","327,495","209,701","177,678","171,047","205,596","148,922","247,325","150,967","225,856","242,729","175,263"
Jubilee,"203,209","799,187","220,573","188,688","279,298","326,688","170,587","252,491","443,692","196,358","245,380","189,931","280,231"
Metropolitan,"61,263","338,251","68,980","60,916","81,827","67,779","77,463","84,032","55,228","84,624","91,610","72,630","81,015"
Northern,"73,346","249,862","75,324","130,824","106,571","159,443","211,777","141,782","188,623","80,994","123,444","102,008","167,710"
Piccadilly,"149,988","682,352","105,354","194,185","165,450","115,216","152,104","175,118","263,350","187,108","182,884","180,233","112,538"
Victoria,"173,911","280,333","87,210","134,743","108,290","149,896","86,151","117,885","127,903","91,078","107,713","104,919","109,794"
NETWORK,"1,232,270","4,400,900","1,431,679","1,467,461","1,528,313","2,111,445","1,787,750","1,449,503","1,794,842","1,165,182","1,513,254","1,447,954","1,331,204"
Lost Customer Hours,2015/16,,,,,,,,,,,,
Bakerloo,"61,359","55,697","55,966","160,701","164,907","53,299","58,577","91,299","52,640","34,031","64,626","81,910","73,823"
Central,"353,140","176,678","338,854","990,270","1,058,334","470,852","501,440","415,972","257,500","154,448","267,956","309,169","453,497"
Waterloo & City,"3,637","6,014","4,663","46,420","41,289","6,935","9,122","4,517","8,670","5,590","9,483","4,721","2,455"
Circle + H&C,"138,417","143,268","187,491","457,649","454,381","165,270","105,062","135,231","200,949","105,461","159,109","220,704","175,882"
District,"175,749","108,472","240,559","487,814","884,683","331,733","183,596","144,475","149,640","108,266","153,275","159,198","176,406"
Jubilee,"422,452","157,553","162,359","878,278","893,994","193,840","293,135","188,627","223,385","83,649","134,716","209,652","216,076"
Metropolitan,"83,444","54,512","71,078","324,028","250,964","76,626","76,052","84,412","81,196","40,829","94,083","59,308","43,176"
Northern,"139,385","108,863","99,678","669,885","655,917","136,434","130,100","145,280","93,197","76,323","136,456","153,096","108,884"
Piccadilly,"170,426","126,732","157,371","526,120","507,544","140,809","162,172","231,299","525,442","136,048","317,916","174,633","491,437"
Victoria,"131,332","110,386","75,137","375,296","313,831","97,676","122,777","82,528","105,100","63,515","167,612","123,944","106,094"
NETWORK,"1,679,343","1,048,174","1,393,156","4,916,461","5,225,844","1,673,474","1,642,033","1,523,639","1,697,720","808,160","1,505,232","1,496,334","1,847,729"
Lost Customer Hours,2016/17,,,,,,,,,,,,
Bakerloo,"91,229","48,900","136,776","77,301","74,958","121,473","86,048","98,322","83,265","65,983","179,192","114,269","101,000"
Central,"241,160","242,143","294,311","533,732","243,439","406,844","319,435","259,103","544,830","324,518","1,108,659","647,636","377,383"
Waterloo & City,"23,403","1,859","13,671","1,386","5,481","1,982","5,602","5,580","14,150","2,370","39,158","37,915","11,314"
Circle + H&C,"189,979","150,807","205,806","261,996","226,522","335,464","141,415","336,068","287,905","199,605","398,842","186,335","121,066"
District,"210,062","194,730","399,276","153,770","175,051","203,063","224,260","227,256","170,287","216,240","199,649","200,526","131,274"
Jubilee,"264,056","202,795","246,297","196,663","207,384","209,957","164,540","192,566","267,635","94,792","408,342","289,240","163,364"
Metropolitan,"53,028","55,961","134,847","123,649","85,645","99,440","68,393","59,443","63,398","54,023","125,953","70,294","63,692"
Northern,"131,581","218,821","128,025","118,649","155,818","103,922","98,985","114,617","220,358","104,949","277,196","229,272","122,155"
Piccadilly,"141,898","158,350","182,984","187,287","220,568","258,524","228,203","273,968","1,994,315","629,406","521,006","349,019","320,256"
Victoria,"85,115","67,624","102,784","227,263","104,478","98,399","102,381","97,434","115,417","145,703","534,334","103,648","110,485"
NETWORK,"1,431,513","1,341,990","1,844,777","1,881,697","1,499,344","1,839,068","1,439,262","1,664,357","3,761,560","1,837,588","3,792,330","2,228,155","1,521,988"
Lost Customer Hours,2017/18,,,,,,,,,,,,
Bakerloo,"128,033","82,253","87,102","64,052","128,863","105,004","126,123","113,110","149,825","66,480","86,316","101,440","97,504"
Central,"257,623","363,661","355,091","423,992","382,988","293,615","327,019","279,403","469,919","352,667","471,269","471,541","467,571"
Waterloo & City,"6,328","11,919","9,928","4,296","3,584","3,601","9,103","4,216","4,500","2,077","12,013","7,693","3,486"
Circle + H&C,"73,829","160,551","104,435","149,152","101,827","81,918","110,735","113,250","163,173","156,706","163,537","143,749","102,759"
District,"148,037","169,628","234,416","163,068","243,611","212,167","270,593","336,171","253,358","125,338","242,514","225,172","256,402"
Jubilee,"223,741","169,403","283,449","251,077","283,398","229,471","264,016","187,409","243,038","183,617","229,545","353,511","372,163"
