Average Lost Customer Hours per period - all causes and all attribution parties [Network by category],,,,,,,,,,,,,
Lost Customer Hours,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17
Other LU Operations,"7,821","4,476","4,464","28,312","6,679","19,942","32,367","6,432","4,657","6,195","7,517","9,010","7,891"
Power Failure,"3,729","3,574","7,803","6,791","64,595","3,485","6,545","7,974","2,085","15,421","32,019","15,989","22,846"
Safety & Security,"81,715","58,059","75,522","134,019","85,236","104,064","62,777","86,828","75,549","45,327","45,414","69,422","82,534"
Signals,"461,564","449,251","380,053","1,037,658","648,301","956,805","551,909","799,363","1,213,578","357,116","448,314","565,493","482,582"
Staff,"374,047","326,494","311,721","530,217","336,513","416,960","352,153","390,579","397,489","281,222","290,550","334,189","347,851"
Staff - Absence or Shortage,"162,419","119,548","150,382","262,324","374,512","268,206","217,100","337,975","291,100","357,819","225,290","352,527","203,351"
Staff Industrial Action,"256,049",0,0,0,0,0,0,0,0,0,0,0,0
Stations,"100,560","188,811","256,691","162,988","228,620","107,942","128,685","138,891","145,854","54,035","92,474","385,216","206,766"
Track & Civils,"300,854","675,521","802,928","578,897","599,109","384,561","381,232","354,829","849,537","234,230","775,261","1,124,138","549,945"
Transplant Operations,0,308,"1,238",0,491,128,"1,605","3,617","5,371",0,0,129,986
Other,410,"1,387",883,0,224,"5,944","3,111","1,466",0,715,0,0,0
Vandalism,"42,737","42,932","50,006","34,282","30,662","33,169","30,692","29,365","91,581","30,255","38,096","34,543","44,221"
Weather,0,917,"52,607","13,395","10,387",910,"8,800",38,"4,718","1,521","35,849","219,490","1,079"
TOTAL,"2,897,442","2,918,580","3,321,016","4,194,887","3,777,136","3,557,078","3,054,899","3,643,299","4,637,673","2,540,301","3,384,482","4,526,399","3,214,634"
Lost Customer Hours,2007/08,,,,,,,,,,,,
Animals / Pests,"5,074","1,572","1,632",235,0,"1,972",888,0,"2,211",0,527,0,"3,082"
ATP / ATO,"10,581","12,624","6,341","14,898","9,423","18,785","17,758","7,676","2,831","7,461","4,288","1,935",174
Bridge Strike,322,"1,835",704,90,0,"3,222",27,0,2,0,345,120,0
Customers & Public,"324,821","473,034","377,723","465,928","366,373","329,131","427,447","500,333","504,223","344,349","437,252","497,401","393,457"
External Properties,673,0,"9,746","1,077","3,344","7,651","66,149",61,818,"22,997",929,"3,640","4,534"
Fleet,"883,512","698,893","814,603","860,508","929,598","2,816,218","936,088","1,054,694","1,076,990","895,917","860,372","1,107,884","952,116"
Gas / Water / Sewage,0,0,"1,073","2,667",0,0,531,"27,064",0,"3,657","1,459",0,"5,103"
National Rail Operations,"19,631","38,819","71,450","17,859","33,627","28,379","20,468","61,076","14,216","13,510","29,598","27,734","47,918"
Other LU Operations,"8,855","2,100","5,501","13,364","32,180","11,221","8,399","9,709","34,487","10,875","44,951","27,632","6,035"
Power Failure,"6,306","6,552","13,848","5,732","5,338","3,522","1,151","2,630","20,039","4,932","12,018","14,171","6,631"
Safety & Security,"42,309","42,916","25,528","183,590","64,666","42,402","55,420","82,488","37,190","36,044","49,715","35,997","48,937"
Signals,"547,330","767,003","942,032","722,187","764,853","559,185","566,736","699,553","421,825","390,938","660,852","409,566","462,821"
Staff,"254,163","267,843","416,626","366,936","339,483","1,436,152","551,082","415,786","445,087","366,323","348,554","381,897","313,807"
Staff - Absence or Shortage,"227,249","186,658","226,503","263,634","635,175","308,888","291,044","213,634","274,318","328,440","209,525","277,609","213,804"
Staff Industrial Action,0,0,0,"71,397",0,0,0,0,0,0,0,0,0
Stations,"85,060","511,065","128,354","147,257","140,818","123,314","129,765","101,979","140,288","109,959","110,960","95,068","72,580"
Track & Civils,"1,585,695","592,424","293,658","1,176,478","389,656","626,455","427,461","281,835","304,413","509,286","604,547","589,011","281,783"
Transplant Operations,0,"2,623",235,691,0,72,"3,887",0,"2,435",0,0,0,245
Other,0,0,0,36,865,171,0,0,0,654,0,0,0
